Sl.No,Year,Name of State/UT,Area Affected (Mha),Population Affected (Million),Damages to Crops - Area (Mha),Damages to Crops - Value (Rs. Crore),Damage to Houses - Nos.,Damage to Houses - Value (Rs. Crore),Cattle Lost Nos.,Human Lives Lost Nos.,Damage to Public Utilities (Rs. Crore),"Total Damages Crops,Houses & Public Utilities (Rs. Crore)"
1,2016,Andhra Pradesh,0.003,0.386,0.003,0,0,0,4,3,0,0
2,2016,Arunachal Pradesh,0,0,0,0,354,0,15671,42,0,0
3,2016,Assam,0,0.003,0,0,0,0,0,36,17.89,17.89
4,2016,Bihar,0.41,8.823,0.41,443.53,16717,44.262,246,254,40.97,528.762
5,2016,Chattisgarh,0,0,0,0,0,0,0,0,0,0
6,2016,Goa,0,0,0,0,0,0,0,0,0,0
7,2016,Gujarat,0,0.012,0,0,128,0,322,99,0,0
8,2016,Haryana,0.004,0,0.004,518.235,49,4.212,1,2,0,522.447
9,2016,Himachal Pradesh,0.035,6.865,0.035,26.83,2283,15.27,136,40,3.02,45.12
10,2016,Jammu & Kashmir,0,0,0,0,0,0,0,3,0,0
11,2016,Jharkhand,0,0,0,0,0,0,0,0,0,0
12,2016,Karnataka,3.78,2.18,3.78,1771.26,21224,5.37,521,63,236.18,2012.81
13,2016,Kerala,0.002,0.006,0.002,42.68,5809,0,56,66,0,42.68
14,2016,Madhya Praadesh,1.304,1.56,1.304,0,168267,0,2623,327,207.86,207.86
15,2016,Maharashtra,0.015,0.077,0.015,0,8164,0,1036,145,0,0
16,2016,Manipur,0,0,0,0,0,0,0,0,0,0
17,2016,Meghalaya,0.003,0.124,0.003,17.73,1412,15.477,0,4,29.322,62.529
18,2016,Mizoram,0,0,0,0,0,0,0,0,1.79,1.79
19,2016,Nagaland,0,0,0,0,0,0,0,0,0,0
20,2016,Odisha,0.009,0.015,0,0,9,0.05,0,3,31.245,31.295
21,2016,Punjab,0.001,0,0.001,1.14,20,0.025,0,13,0.495,1.66
22,2016,Rajasthan,0.884,4.381,0.796,1014.221,14494,20.378,635,129,164.514,1199.113
23,2016,Sikkim,0,0,0,0,6,0,0,0,0,0
24,2016,Tamilnadu,0,0,0,0,0,0,0,0,0,0
25,2016,Tripura,0.037,0.091,0.019,89.122,455,0.235,0,3,0,89.357
26,2016,Uttar Pradesh,0.569,2.032,0.277,123.776,35525,0,293,74,0,123.776
27,2016,Uttarakhand,0.01,0,0.01,4.2,3324,9.397,823,114,774.64,788.237
28,2016,West Bengal,0,0,0,0,0,0,0,0,0,0
29,2016,A & N Island,0,0,0,0,0,0,0,0,0,0
30,2016,Chandigarh,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
31,2016,D & N Haveli,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
32,2016,Daman & Diu,0,0,0,0,0,0,0,0,0,0
33,2016,Delhi,0,0,0,0,0,0,0,0,0,0
34,2016,Lakshadweep,0,0,0,0,0,0,0,0,0,0
35,2016,Puduchcherry,0,0,0,0,0,0,0,0,0,0
2016,2016,Total,7.065,26.555,6.658,4052.723,278240,114.676,22367,1420,1507.926,5675.325
1,2017,Andhra Pradesh,0,0,0,0,25,0,0,1,0,0
2,2017,Arunachal Pradesh,0.106,0.199,0.041,97.54,1463,5.55,1177,60,1471.59,1574.68
3,2017,Assam,0.398,5.602,0.398,0,78287,0,0,160,0,0
4,2017,Bihar,0.81,17.164,0.81,0,118410,0,373,514,0,0
5,2017,Chattisgarh,0,0,0,0,929,0,0,52,0,0
6,2017,Goa,0,0,0,0,64,0,0,1,0,0
7,2017,Gujarat,0.891,0.52,0.891,8.6,38796,15.74,9445,284,3531.53,3555.87
8,2017,Haryana,0.001,0,0.001,17.96,8,0.047,0,0,0,18.007
9,2017,Himachal Pradesh,0.006,6.865,0.003,34.607,2195,13.3,199,75,3.46,51.367
10,2017,Jammu & Kashmir,0,0,0,0,92,0,0,7,0,0
11,2017,Jharkhand,0,0.01,0,0,2668,0,0,12,0,0
12,2017,Karnataka,0,0,0,0,1910,0,0,84,0,0
13,2017,Kerala,0,0,0,0,3836,NA,0,66,0,0
14,2017,Madhya Praadesh,0,0,0,0,0,0,0,0,0,0
15,2017,Maharashtra,0,0,0,0,0,0,0,148,0,0
16,2017,Manipur,0.089,0,0.089,0,18989,0,0,21,0,0
