Sl.No,Year,Name of State/UT,Human Lives Lost Nos.,"Total Damages Crops,Houses & Public Utilities (Rs. Crore)"
1,2016,Andhra Pradesh,3,0
2,2016,Arunachal Pradesh,42,0
3,2016,Assam,36,17.89
4,2016,Bihar,254,528.762
5,2016,Chattisgarh,0,0
6,2016,Goa,0,0
7,2016,Gujarat,99,0
8,2016,Haryana,2,522.447
9,2016,Himachal Pradesh,40,45.12
10,2016,Jammu & Kashmir,3,0
11,2016,Jharkhand,0,0
12,2016,Karnataka,63,2012.81
13,2016,Kerala,66,42.68
14,2016,Madhya Praadesh,327,207.86
15,2016,Maharashtra,145,0
16,2016,Manipur,0,0
17,2016,Meghalaya,4,62.529
18,2016,Mizoram,0,1.79
19,2016,Nagaland,0,0
20,2016,Odisha,3,31.295
21,2016,Punjab,13,1.66
22,2016,Rajasthan,129,1199.113
23,2016,Sikkim,0,0
24,2016,Tamilnadu,0,0
25,2016,Tripura,3,89.357
26,2016,Uttar Pradesh,74,123.776
27,2016,Uttarakhand,114,788.237
28,2016,West Bengal,0,0
29,2016,A & N Island,0,0
30,2016,Chandigarh,Nil,Nil
31,2016,D & N Haveli,Nil,Nil
32,2016,Daman & Diu,0,0
33,2016,Delhi,0,0
34,2016,Lakshadweep,0,0
35,2016,Puduchcherry,0,0
2016,2016,Total,1420,5675.325
