"Sl.No
 - India",Year,Area affected in m.ha. - India,Population affected in million - India,Damage to Crops - Area in m. ha. - India,Damage to Crops - Value in Rs.Crore - India,Damage to Houses - Nos. - India,Damage to Houses - Value in Rs.Crore - India,Cattle Lost Nos. - India,Human live Lost Nos. - India,Damage to Public Utilities in Rs.Crore - India,"Total Damages Crops, Houses & Public utilities in Rs.Crore (col.6+8+11) - India",Area affected in m.ha. - Uttar Pradesh,Population affected in million - Uttar Pradesh,Damage to Crops - Area in m. ha. - Uttar Pradesh,Damage to Crops - Value in Rs.Crore - Uttar Pradesh,Damage to Houses - Nos. - Uttar Pradesh,Damage to Houses - Value in Rs.Crore - Uttar Pradesh,Cattle Lost Nos. - Uttar Pradesh,Human live Lost Nos. - Uttar Pradesh,Damage to Public Utilities in Rs.Crore - Uttar Pradesh,"Total damages Crops, Houses & Public utilities in Rs.Crore (col.6+8+11) - Uttar Pradesh",Area affected in m.ha. - Madhya Pradesh,Population affected in million - Madhya Pradesh,Damage to Crops - Area in m. ha. - Madhya Pradesh,Damage to Crops - Value in Rs.Crore - Madhya Pradesh,Damage to Houses - Nos. - Madhya Pradesh,Damage to Houses - Value in Rs.Crore - Madhya Pradesh,Cattle Lost Nos. - Madhya Pradesh,Human live Lost Nos. - Madhya Pradesh,Damage to Public Utilities in Rs.Crore - Madhya Pradesh,"Total damages Crops, Houses & Public utilities in Rs.Crore (col.6+8+11) - Madhya Pradesh",Area affected in m.ha. - Bihar,Population affected in million - Bihar,Damage to Crops - Area in m. ha. - Bihar,Damage to Crops - Value in Rs.Crore - Bihar,Damage to Houses - Nos. - Bihar,Damage to Houses - Value in Rs.Crore - Bihar,Cattle Lost Nos. - Bihar,Human live Lost Nos. - Bihar,Damage to Public Utilities in Rs.Crore - Bihar,"Total damages Crops, Houses & Public utilities in Rs.Crore (col.6+8+11) - Bihar"
1,1953,2.29,24.28,0.93,42.08,264924,7.42,47034,37,2.9,52.4,0.91,14.37,0,10.82,80443,1.11,341,23,1,12.93,0.26,0.05,Neg,0.07,Nil,Nil,2872,2,0.05,0.12,0.97,6.77,0.93,29,184300,6,33,5,1.5,36.5
2,1954,7.49,12.92,2.61,40.52,199984,6.561,22552,279,10.15,57.231,1.35,3.4,0.74,6.82,19550,0.19,1555,27,1.5,8.51,Nil,Nil,Nil,Nil,Nil,Nil,Nil,10,1,1,2.5,7.67,1.59,15,179451,5,1944,63,1.5,21.5
3,1955,9.44,25.27,5.31,77.8,1666789,20.945,72010,865,3.98,102.725,4.13,14,2.57,26.38,768264,2.82,5694,231,0.6,29.8,0.03,Neg,Nil,3,1196,4,266,5,0.01,7.01,1.77,7.11,1.01,20.3,111356,1.12,57,44,0.205,21.625
4,1956,9.24,14.57,1.11,44.44,725776,8.047,16108,462,1.14,53.627,2.5,8.6,0,21.48,401889,6.6,2595,155,0.5,28.58,0.04,0.02,Nil,Nil,310,1.1,43,Nil,1.015,2.115,1.32,3.12,0.4,5.22,79879,0.51,138,32,Nil,5.73
5,1957,4.86,6.76,0.45,14.12,318149,4.979,7433,352,4.27,23.369,1.7,4.19,0,10.67,263151,4.62,1281,193,0,15.29,0.03,Nil,0.02,Neg,426,0.012,71,Nil,0.08,0.092,0.79,1.73,0.3,Neg,18812,Neg,18,7,Nil,Neg
6,1958,6.26,10.98,1.4,38.28,382251,3.896,18439,389,1.79,43.966,2.18,3.56,0,0,130097,0,1931,143,0,0,Nil,Neg,Neg,Neg,121,0.009,112,1,Neg,0.009,0.71,2.37,0.29,3.198,14393,Neg,Nil,6,0.01,3.208
7,1959,5.77,14.52,1.54,56.76,648821,9.418,72691,619,20.02,86.198,0.07,0.22,0,0,116,0,0,1,0.014,0.014,0.13,0.03,0.01,0.072,5208,0.145,195,7,Neg,0.217,0.21,1.01,0.15,Neg,914,Neg,2,Nil,Nil,Neg
8,1960,7.53,8.35,2.27,42.55,609884,14.309,13908,510,6.31,63.169,3.25,0,0.59,0,374897,0,1417,229,0,0,Neg,Nil,Neg,Neg,5,Neg,Nil,Nil,Neg,Neg,1.32,2.45,0.17,Neg,15952,Neg,15,7,0.006,0.006
9,1961,6.56,9.26,1.97,24.04,533465,0.889,15916,1374,6.44,31.369,2.29,0,0.22,0,316560,0.027,1470,334,0.27,0.297,Nil,0.04,0.01,Neg,15267,Neg,2948,86,0.692,0.692,1.27,4.68,0.45,13.25,31570,Neg,10105,551,Nil,13.25
10,1962,6.12,15.46,3.39,83.18,513785,10.655,37633,348,1.05,94.885,1.06,1.79,1.06,19.351,65315,1.172,149,28,0.103,20.626,Nil,0.02,Neg,0.032,1404,0.099,456,7,0.006,0.137,1.11,4.01,0.67,9.57,64397,0.516,25,20,0.045,10.131
11,1963,3.49,10.93,2.05,30.17,420554,3.701,4572,432,2.74,36.611,1.26,6.38,1.2,18.306,313231,2.741,2013,292,0.456,21.503,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.27,0.7,Neg,0.758,606,0.006,2,Nil,Nil,0.764
12,1964,4.9,13.78,2.49,56.87,255558,4.588,4956,690,5.149,66.607,1.06,4.3,0.77,11.208,39648,0.32,87,69,0.004,11.532,0.01,0.03,Nil,0.005,174,0.08,365,2,0.099,0.184,1.12,3.81,0.53,11.088,53285,0.475,52,32,1.71,13.273
13,1965,1.46,3.61,0.27,5.87,112957,0.195,7286,79,1.07,7.135,0.08,0.33,0,0.11,1136,0.01,6,4,0.01,0.13,0.09,Nil,0.05,Neg,6910,Neg,6419,45,1,1,0.43,1.83,0.11,1.804,86185,Neg,1,2,Nil,1.804
14,1966,4.74,14.4,2.16,80.15,217269,2.544,9071,180,5.736,88.43,0.52,1.36,0.28,6.909,42712,0.708,161,40,Neg,7.617,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,1.53,5.87,1.12,39,56125,Neg,64,38,Nil,39
15,1967,7.12,20.46,3.27,133.31,567995,14.264,5827,355,7.857,155.431,3.43,8.76,1.52,55.55,328013,5.003,1677,226,1.053,61.606,0.05,0.35,0.01,0.43,2962,0.11,9,Nil,0.01,0.55,1.25,6.43,0.73,19.34,77699,0.27,68,23,0.06,19.67
16,1968,7.15,21.17,2.62,144.61,682704,41.112,130305,3497,25.373,211.095,0.8,1.32,0.4,8.31,19577,0.393,200,66,0.128,8.831,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.73,3.56,0.19,10.14,76503,0.01,7821,13,0.01,10.16
17,1969,6.2,33.22,2.91,281.9,1268660,54.423,270328,1408,68.112,404.435,2.4,5.74,1.31,34.601,149204,2.765,3187,113,1.087,38.453,0.1,0.96,0.01,0.006,539,0.128,47,Nil,0.016,0.15,0.97,4.17,0.51,28.8,69247,Neg,18,31,7.2,36
18,1970,8.46,31.83,4.91,162.78,1434030,48.606,19198,1076,76.441,287.827,2.91,10.8,1.7,43,553000,20.8,3913,344,5.28,69.08,0.05,Nil,0.02,Nil,6322,Neg,545,15,1.57,1.57,0.93,3.89,0.38,14.74,16989,0.32,1855,2,0.017,15.077
19,1971,13.25,59.74,6.24,423.13,2428031,80.241,12866,994,129.113,632.484,5.26,20.81,2.65,108.12,744251,20.257,3064,605,46.1,174.477,0.01,0.06,0.01,0.313,7033,0.117,612,1,0.54,0.97,4.26,21.71,1.55,143.912,786000,29.305,426,23,44.22,217.437
20,1972,4.1,26.69,2.45,98.56,897301,12.46,58231,544,47.174,158.194,0.31,2.1,0.18,2.842,11822,1.01,1052,69,0,3.852,Nil,Neg,Neg,Neg,1768,Neg,99,Nil,0.017,0.017,0.22,0.9,0.02,1.62,2225,0.072,Nil,Nil,0.01,1.702
21,1973,11.79,64.08,3.73,428.03,869797,52.482,261016,1349,88.489,569.001,2.63,12.84,1.5,67.45,193362,10.768,269,192,3.49,81.708,Nil,3.69,Nil,58.828,104461,6.829,71037,246,3.751,69.408,0.73,3.14,0.35,19.706,8819,0.346,6,8,0.009,20.061
22,1974,6.7,29.45,3.33,411.64,746709,72.434,16846,387,84.942,569.016,1.35,5.22,0.9,57.517,85234,12.785,23,37,35,105.302,0.11,0.15,0.01,0.488,4303,0.32,129,5,0.086,0.894,3.14,16.43,1.75,294.95,432000,52.876,321,80,34.01,381.836
23,1975,6.17,31.36,3.85,271.49,803705,34.097,17345,686,166.05,471.637,2.18,6.28,1.38,30.78,106679,2.908,473,148,5.08,38.768,Neg,0.01,Neg,0.06,536,0.047,137,25,0.012,0.119,2.31,13.24,1.1,136.553,320311,9.692,1323,148,119.518,265.763
24,1976,11.91,50.46,6.04,595.03,1745501,92.16,80062,1373,201.495,888.685,3.63,14.15,2.16,186,290757,22.5,2425,257,38.68,247.18,0,0.05,0,0.48,760,0.081,428,1,0.031,0.592,2.99,13.64,0.85,94.639,494060,30.035,4518,186,81.32,205.994
25,1977,11.46,49.43,6.84,720.61,1661625,152.29,556326,11316,328.948,1201.848,1.3,3.78,0.61,75,50648,5,887,157,16.6,96.6,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,1.15,3.08,0.23,11.788,19741,0.454,66,16,0.044,12.286
26,1978,17.5,70.45,9.96,911.09,3507542,167.574,239174,3396,376.1,1454.764,7.34,22.59,3.93,382,1197552,90,7430,739,89.36,561.36,0.16,1.98,0.09,3.404,54944,2.234,911,28,0.146,5.784,2.37,12.06,0.97,94.603,310003,9.122,460,177,75.13,178.855
27,1979,3.99,19.52,2.17,169.97,1328712,210.606,618248,3637,233.627,614.203,0.7,2.11,5.2,51.769,22958,1.722,222,77,0,53.491,Neg,0.01,Neg,0.022,61,0.005,6,9,0.007,0.034,0.81,3.74,0.27,19.015,27816,1.034,4,14,0.14,20.189
28,1980,11.46,54.12,5.55,366.37,2533142,170.851,59173,1913,303.283,840.504,5.86,30.35,3.09,190.118,1923134,100.124,5244,1309,75.95,366.192,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,1.92,7.45,1,Neg,81015,3.723,42,67,54.01,57.733
29,1981,6.12,32.49,3.27,524.56,912557,159.63,82248,1376,512.314,1196.504,2.99,14.53,1.64,365,491102,122.776,1346,427,117.2,604.976,Nil,Nil,Nil,Nil,96,Neg,Nil,5,Nil,Neg,1.26,6.95,0.77,72.132,75776,3.957,11,18,2.986,79.075
30,1982,8.87,56.01,5,589.4,2397365,383.869,246750,1573,671.607,1644.876,5.5,23.3,3.3,330.87,1018209,254.55,2517,562,177.41,762.83,0,1.83,0,25.23,43734,2.8,1470,56,2.61,30.64,0.93,4.68,0.32,97.004,68242,6.865,14,25,9.553,113.422
31,1983,9.02,61.03,3.29,1285.85,2393722,332.327,153095,2378,873.429,2491.606,3.86,15.39,2.5,624.69,516515,129.13,2101,519,255.51,1009.33,0.07,0.71,0.07,7.112,12971,3.91,999,27,9.883,20.905,1.47,5.07,0.37,23.434,24169,1.182,19,6,1.669,26.285
32,1984,10.71,54.55,5.19,906.09,1763603,181.308,141314,1661,818.164,1905.562,1.69,6.71,1.04,260.37,85960,21.49,432,209,182.2,464.06,0.03,0.08,0.03,1.139,3898,0.262,218,42,11.171,12.572,3.05,13.5,1.59,185.439,334285,22.915,90,143,27.177,235.531
33,1985,8.38,59.59,4.65,1425.37,2449878,583.855,43008,1804,2050.043,4059.268,4.03,19.56,2.42,967.53,620379,248.08,3808,804,1185.33,2400.94,Nil,Neg,Nil,Nil,571,0.03,55,2,7.363,7.393,0.79,4.9,0.42,30.342,59158,4.327,9,69,1.871,36.54
34,1986,8.81,55.5,4.58,1231.58,2049277,534.41,60450,1200,1982.535,3748.525,1.04,5.94,0.65,258,51411,20.564,725,223,191.65,470.214,0.18,0.73,0.18,11.16,30385,3.345,14340,124,2.407,16.912,1.755,7.27,0.75,103.66,78756,4.387,491,94,200,308.047
35,1987,8.89,48.34,4.94,1154.64,2919380,464.49,128638,1835,950.59,2569.72,0.6,3.84,0.321,128.33,144160,38.94,1021,165,120.98,288.25,Neg,Neg,Neg,0.01,90,0.02,3,0,Nil,0.03,4.164,24.489,2.24,501.32,1398484,217.74,4116,1116,490.55,1209.61
36,1988,16.29,59.55,10.15,2510.9,2276533,741.6,150996,4252,1377.8,4630.3,3.18,19.4,1.71,685.76,371046,148.42,2102,765,0,834.18,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,1.05,6.23,0.4,49.87,14759,2.11,29,52,1.51,53.49
37,1989,8.06,34.15,3.01,956.74,782340,149.82,75176,1718,1298.77,2405.33,1.003,4.861,0.652,0,77625,0,516,168,0,0,Neg,Neg,Neg,Neg,Neg,Neg,Nil,Nil,Neg,Neg,0.471,1.879,0.165,7.05,7746,1.61,0,26,0.84,9.5
38,1990,9.303,40.259,3.179,695.61,1019930,213.733,134154,1855,455.266,1708.92,2.208,8.876,1.204,481.758,151301,60.52,3028,492,23.987,566.265,0.041,0,0.041,0,102967,0,2520,70,1.674,1.674,0.87,3.96,0.32,18.17,11009,1.6,76,36,1.82,21.59
39,1991,6.357,33.889,2.698,579.015,1134410,180.421,41090,1187,728.893,1488.329,0.811,2.418,0.291,116.4,78000,31.35,369,215,0,147.75,0.01,0.004,0.009,0.053,8520,0.846,673,33,0.004,0.903,0.98,4.823,0.405,23.61,27324,6.138,84,56,1.399,31.147
40,1992,2.645,19.256,1.748,1027.578,687489,306.284,78669,1533,2010.67,3344.532,0.696,3.763,0.295,181.28,35900,55.58,1167,153,298.73,535.59,0,0,0,0,0,0,0,0,0,0,0.076,0.556,0.025,0.581,1281,0.161,0,4,0.008,0.75
41,1993,11.439,30.409,3.206,1308.627,1926049,528.324,211193,2864,1445.534,3282.485,1.444,7.423,0.749,368.06,174430,118.63,2029,389,211.22,697.91,0,0,0,0,4265,0,58,32,0,0,0.415,1.593,0.162,66.825,41038,5.742,365,1153,0.441,73.008
42,1994,4.805,27.548,3.963,888.622,914664,165.206,52315,2078,740.762,1794.59,0.985,3.908,0.598,295.201,74303,37.121,4855,317,311.4,643.722,0.377,3.322,0.377,31.55,244700,0,6674,288,0,31.55,0.601,3.863,0.331,45.068,28073,2.178,34,83,1.313,48.559
43,1995,5.245,35.932,3.245,1714.787,2001898,1307.894,62438,1814,679.627,3702.308,1.279,3.691,0.799,0,88455,0,1259,425,0,0,0,0,0,0,0,0,0,58,0,0,0.926,6.629,0.424,195.143,297765,75.104,3742,291,21.836,292.083
44,1996,8.049,44.729,3.827,1124.491,726799,176.589,73208,1803,861.393,3005.743,1.124,7.22,0.678,678,70818,70,1232,313,0,748,0.014,0,0.014,0,7075,0,344,48,0,0,1.189,8.709,0.734,70.315,113974,14.005,110,218,8.462,92.782
45,1997,4.569,29.663,2.258,692.743,505128,152.504,27754,1402,1985.934,2831.181,0.349,1.021,0.155,0,5123,0,114,102,0,0,0.022,0.456,0.022,0,47963,0,1263,14,0,0,1.471,6.965,0.655,57.377,174379,30.567,151,163,20.381,108.325
46,1998,10.845,47.435,7.495,2594.167,1932874,1108.783,107098,2889,5157.771,8860.721,2.523,12.191,1.415,224.523,384896,59.346,3385,1390,340.9,624.769,0.115,1.649,0.115,19.677,20738,4.741,516,81,0.438,24.856,2.512,13.47,1.284,366.967,199611,55.037,187,381,92.84,514.844
47,1999,7.765,27.993,1.753,1850.873,1613260,1299.057,91289,745,462.83,3612.76,0.054,0.184,0.041,10.277,1139,3.005,9,86,0,13.282,0.062,0.436,0.062,10.608,29168,8.75,654,27,Nil,19.358,0.845,6.566,0.304,242.039,91813,53.85,136,243,54.1,349.989
48,2000,5.382,45.013,3.58,4246.622,2628855,680.943,123252,2606,3936.979,8864.544,0.784,6.387,0.472,17.389,40696,13.539,997,453,0.24,31.168,Nil,0.03,Nil,Nil,6034,0.05,226,48,Nil,0.05,0.779,8.241,0.425,75.534,227897,148.563,1702,308,28.547,252.644
49,2001,6.175,26.463,3.964,688.481,716187,816.474,32704,1444,5604.461,7109.416,0.463,2.715,0.29,44.745,44244,17.85,312,270,3252.83,3315.425,Nil,Nil,Nil,Nil,999,0.02,308,29,Nil,0.02,1.195,9.091,0.65,267.218,222008,173.584,565,231,183.538,624.34
50,2002,7.09,26.323,2.194,913.092,762492,599.368,21533,1001,1062.083,2574.543,0.111,0.386,0.062,2.583,3462,1.202,36,33,0.01,3.795,0.002,0.143,0.002,1.987,5904,1.12,27,10,Nil,3.107,1.969,16.018,0.941,511.495,419014,526.215,1450,489,408.922,1446.632
51,2003,6.12,43.201,4.268,7307.23,775379,756.481,15161,2166,3262.154,11325.866,2.355,13.476,1.286,448.574,361323,99.859,3184,953,127.444,675.877,0.126,1.436,0.126,22.717,31536,7.367,214,18,51.6,81.684,1.508,8.798,0.61,62.66,45262,20.32,108,251,1035.16,1118.14
52,2004,5.314,43.725,2.888,778.694,1664388,879.601,134106,1813,1656.09,3314.385,0,0,0,0,0,0,0,0,0,0,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,2.7,29.985,1.399,522.056,929773,758.095,3272,885,1030.496,2310.647
53,2005,12.562,22.925,12.299,2370.923,715749,380.531,119674,1455,4688.219,7439.672,0.51,0.06,0,0,9688,1.33,1,13,2.44,3.77,0,2.5,0.011,5.98,231714,173.88,45293,95,232.01,411.87,0.46,2.639,0.135,11.64,5538,3.828,4,58,3.05,18.518
54,2006,1.096,25.224,1.822,2850.668,1497428,3636.848,266945,1431,13303.926,19790.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,1.089,0.086,7.06,18637,12.26,31,36,84.562,103.882
55,2007,7.145,41.402,8.795,3121.532,3280233,2113.108,89337,3389,8049.037,13283.677,0,3,2.955,0,203700,0,141,170,0,0,0,0,0,0,0,0,0,0,0,0,1.88,2.78,1.06,768.378,784328,831.445,2423,1287,642.415,2242.239
56,2008,3.427,29.91,3.186,3401.563,1566809,1141.891,101780,2876,5046.481,9589.935,0,2.576,0.422,189.018,340761,213.054,3490,1056,322.488,724.56,0,0,0,0,10039,0,1138,16,0,0,0.882,6.212,0.367,34.196,297916,84.514,878,252,97.71,216.42
