Sl.No,Year,Name of State/UT,Stat_Code,Population Affected (Million),Damages to Crops - Value (Rs. Crore),Cattle Lost Nos.,Human Lives Lost Nos.,"Total Damages Crops,Houses & Public Utilities (Rs. Crore)"
1,2018,Andhra Pradesh,28,0,0,0,0,0
2,2018,Arunachal Pradesh,12,0,462.915,47,33,87149.192
3,2018,Assam,18,1.322,0,193,53,0
4,2018,Bihar,10,0.167,0,0,0,0
5,2018,Chattisgarh,22,0,0,0,0,0
6,2018,Goa,30,0,0,0,0,0
7,2018,Gujarat,24,0,0,212,0,0
8,2018,Haryana,6,0,0,0,0,0
9,2018,Himachal Pradesh,2,68.65,12.57,1285,343,65.9
10,2018,Jammu & Kashmir,1,0,0,38,6,0
11,2018,Jharkhand,20,0,0,0,5,0.2
12,2018,Karnataka,29,0.35,2220.7,1207,215,4620.78
13,2018,Kerala,32,5.412,168.48,47953,450,3320.76
14,2018,Madhya Praadesh,23,0,0,36,31,0
15,2018,Maharashtra,27,0,0,65,68,0
16,2018,Manipur,14,0.127,0,400,9,0
17,2018,Meghalaya,17,0,0.038,0,0,0
18,2018,Mizoram,15,0,0,3,18,0
19,2018,Nagaland,13,0.261,0,794,13,0
20,2018,Odisha,21,2.274,0,122,31,0
21,2018,Punjab,3,0,0,29,14,0
22,2018,Rajasthan,8,0.017,2.2,341,26,31.728
23,2018,Sikkim,11,0,0,0,0,0
24,2018,Tamilnadu,33,0,0,0,0,0
25,2018,Tripura,16,0,0,5,21,0
26,2018,Uttar Pradesh,9,0.592,230.364,149,105,547.423
27,2018,Uttarakhand,5,0,0,895,101,0
28,2018,West Bengal,19,0.321,0,93,266,0
29,2018,A & N Island,35,0,0,0,0,0
30,2018,Chandigarh,4,0,0,0,0,0
31,2018,D & N Haveli,26,0,0,0,0,0
32,2018,Daman & Diu,25,0,0,0,0,0
33,2018,Delhi,7,0,0,0,0,0
34,2018,Lakshadweep,31,0,0,0,0,0
35,2018,Puduchcherry,34,0,0,0,0,0
